p,k,vertices,edges,avg_insert,avg_extract,avg_decrease,avg_insert_r,avg_extract_r,avg_decrease_r,I,D,U,avg_time(microseconds)
0.1,17,64,400.0,64.0,64.0,33.7,0.168153,0.68151,0.111398,1.0,1.0,0.08425,48.83
0.1,17,128,1600.0,128.0,128.0,155.37,0.126828,0.810807,0.055844,1.0,1.0,0.09710625,123.4
0.1,17,256,6460.0,256.0,256.0,477.4,0.096795,0.873307,0.044764,1.0,1.0,0.07390092879256965,279.23
0.1,17,512,26241.0,512.0,512.0,1298.8,0.089693,0.815603,0.038663,1.0,1.0,0.04949506497465798,721.53
0.1,17,1024,104833.0,1024.0,1024.0,3276.1,0.076851,0.824165,0.030974,1.0,1.0,0.03125065580494692,2016.97
0.1,17,2048,420016.0,2048.0,2048.0,8000.37,0.065414,0.843547,0.029517,1.0,1.0,0.019047774370500172,6281.47
0.1,17,4096,1675722.0,4096.0,4096.0,18830.97,0.057726,0.815993,0.032279,1.0,1.0,0.01123752627225757,18911.37
0.1,17,8192,6709288.0,8192.0,8192.0,43379.17,0.053656,0.657172,0.043427,1.0,1.0,0.006465540009610558,67794.73
0.2,17,64,810.0,64.0,64.0,80.7,0.178969,0.730469,0.110387,1.0,1.0,0.09962962962962964,51.97
0.2,17,128,3268.0,128.0,128.0,231.27,0.135955,0.815104,0.05837,1.0,1.0,0.07076805385556915,137.23
0.2,17,256,13202.0,256.0,256.0,647.13,0.108647,0.876628,0.037448,1.0,1.0,0.049017573094985604,353.47
0.2,17,512,52547.0,512.0,512.0,1651.43,0.090222,0.807498,0.034372,1.0,1.0,0.031427674272556,989.47
0.2,17,1024,209602.0,1024.0,1024.0,3992.77,0.075896,0.804568,0.032405,1.0,1.0,0.019049293422772683,2990.7
0.2,17,2048,838614.0,2048.0,2048.0,9433.17,0.068179,0.788946,0.034996,1.0,1.0,0.01124852435089326,9881.8
0.2,17,4096,3354962.0,4096.0,4096.0,21819.63,0.060435,0.693884,0.045002,1.0,1.0,0.006503689162500202,32285.23
0.2,17,8192,13416779.0,8192.0,8192.0,50179.87,0.054362,0.489975,0.066594,1.0,1.0,0.0037400832196759002,122539.67
0.3,17,64,1164.0,64.0,64.0,100.97,0.171968,0.713802,0.071777,1.0,1.0,0.08674398625429554,65.13
0.3,17,128,4859.0,128.0,128.0,287.07,0.126255,0.823568,0.041602,1.0,1.0,0.059080057625025724,172.6
0.3,17,256,19350.0,256.0,256.0,730.63,0.105702,0.871289,0.037823,1.0,1.0,0.03775865633074935,441.2
0.3,17,512,78134.0,512.0,512.0,1842.9,0.088211,0.79222,0.032306,1.0,1.0,0.023586402846392098,1261.1
0.3,17,1024,314848.0,1024.0,1024.0,4430.77,0.078749,0.777968,0.035365,1.0,1.0,0.014072727157231428,3972.97
0.3,17,2048,1258105.0,2048.0,2048.0,10261.87,0.06777,0.743338,0.040773,1.0,1.0,0.008156608550160758,12638.43
0.3,17,4096,5032428.0,4096.0,4096.0,23754.87,0.060723,0.599392,0.059086,1.0,1.0,0.004720359635547692,46821.47
0.3,17,8192,20131244.0,8192.0,8192.0,52213.2,0.054329,0.400573,0.05571,1.0,1.0,0.002593640015490349,180483.27
0.4,17,64,1603.0,64.0,64.0,111.37,0.164729,0.747656,0.057539,1.0,1.0,0.0694759825327511,64.33
0.4,17,128,6540.0,128.0,128.0,316.9,0.137217,0.803255,0.049176,1.0,1.0,0.04845565749235474,172.9
0.4,17,256,26006.0,256.0,256.0,827.27,0.108388,0.866406,0.037509,1.0,1.0,0.03181073598400369,496.53
0.4,17,512,104282.0,512.0,512.0,2000.53,0.09356,0.778602,0.033869,1.0,1.0,0.019183847643888686,1470.63
0.4,17,1024,419239.0,1024.0,1024.0,4678.6,0.079213,0.758089,0.035801,1.0,1.0,0.011159744203187204,4657.53
0.4,17,2048,1677952.0,2048.0,2048.0,10883.63,0.068701,0.694027,0.045291,1.0,1.0,0.006486258248150125,15869.7
0.4,17,4096,6709382.0,4096.0,4096.0,25161.1,0.060761,0.527368,0.061698,1.0,1.0,0.0037501367488093538,59078.8
0.4,17,8192,26835878.0,8192.0,8192.0,52830.97,0.055635,0.361066,0.04378,1.0,1.0,0.001968669331407752,225373.3
0.5,17,64,2006.0,64.0,64.0,125.47,0.197031,0.721615,0.059372,1.0,1.0,0.06254735792622133,75.83
0.5,17,128,8169.0,128.0,128.0,349.4,0.136023,0.825521,0.045532,1.0,1.0,0.0427714530542294,193.5
