p;k;vertices;edges;avg_insert;avg_extract;avg_decrease;avg_insert_r;avg_extract_r;avg_decrease_r;avg_time(microseconds)
0.2;2;64;810.00;64.00;64.00;80.30;0.176042;0.643950;0.151714;55.83;
0.2;3;64;810.00;64.00;64.00;78.20;0.161154;0.669314;0.135294;53.10;
0.2;4;64;810.00;64.00;64.00;78.40;0.139844;0.723785;0.137365;55.30;
0.2;5;64;810.00;64.00;64.00;78.50;0.128212;0.699479;0.115801;56.13;
0.2;6;64;810.00;64.00;64.00;77.63;0.134722;0.701389;0.105359;50.17;
0.2;7;64;810.00;64.00;64.00;80.57;0.128646;0.788281;0.118481;52.20;
0.2;8;64;810.00;64.00;64.00;78.73;0.117708;0.788021;0.107434;53.03;
0.2;9;64;810.00;64.00;64.00;77.63;0.121615;0.773438;0.102041;52.47;
0.2;10;64;810.00;64.00;64.00;77.77;0.118229;0.759635;0.097001;52.67;
0.2;11;64;810.00;64.00;64.00;78.10;0.121615;0.739323;0.091947;52.70;
0.2;12;64;810.00;64.00;64.00;79.07;0.110937;0.748177;0.091199;54.00;
0.2;13;64;810.00;64.00;64.00;78.13;0.108854;0.734896;0.081032;56.00;
0.2;14;64;810.00;64.00;64.00;78.50;0.108073;0.735417;0.087777;59.20;
0.2;15;64;810.00;64.00;64.00;79.30;0.112240;0.717708;0.077934;53.83;
0.2;16;64;810.00;64.00;64.00;78.60;0.095833;0.724740;0.076223;57.23;
0.2;17;64;810.00;64.00;64.00;74.57;0.085156;0.731510;0.076744;53.07;
0.2;18;64;810.00;64.00;64.00;78.63;0.107813;0.718229;0.071182;57.70;
0.2;19;64;810.00;64.00;64.00;75.23;0.098177;0.707031;0.068000;56.27;
0.2;20;64;810.00;64.00;64.00;78.53;0.090104;0.712500;0.070670;54.33;
0.2;21;64;810.00;64.00;64.00;79.17;0.087500;0.713281;0.067645;51.73;
0.2;22;64;810.00;64.00;64.00;79.33;0.090104;0.712500;0.063909;57.47;
0.2;23;64;810.00;64.00;64.00;78.17;0.080729;0.710417;0.063549;48.43;
0.2;24;64;810.00;64.00;64.00;76.97;0.090885;0.703125;0.060706;57.87;
0.2;25;64;810.00;64.00;64.00;76.17;0.091146;0.705729;0.062426;59.87;
0.2;26;64;810.00;64.00;64.00;79.43;0.082812;0.710677;0.055944;61.13;
0.2;27;64;810.00;64.00;64.00;77.83;0.081510;0.722917;0.070775;60.53;
0.2;28;64;810.00;64.00;64.00;78.17;0.082031;0.714062;0.062280;63.10;
0.2;29;64;810.00;64.00;64.00;78.97;0.076823;0.722917;0.061391;60.83;
0.2;30;64;810.00;64.00;64.00;78.27;0.066667;0.714323;0.062661;63.57;
0.2;31;64;810.00;64.00;64.00;77.07;0.081250;0.719010;0.054713;49.90;
0.2;32;64;810.00;64.00;64.00;79.40;0.081771;0.723958;0.064406;57.87;
0.2;33;64;810.00;64.00;64.00;77.70;0.076302;0.729688;0.064466;57.40;
0.2;34;64;810.00;64.00;64.00;79.37;0.085677;0.734375;0.055736;49.73;
0.2;35;64;810.00;64.00;64.00;75.60;0.074479;0.727344;0.057074;55.20;
0.2;36;64;810.00;64.00;64.00;78.73;0.071354;0.747917;0.054346;59.37;
0.2;37;64;810.00;64.00;64.00;77.87;0.063281;0.743229;0.057026;48.97;
0.2;38;64;810.00;64.00;64.00;80.63;0.076823;0.751042;0.051414;56.30;
0.2;39;64;810.00;64.00;64.00;79.60;0.071094;0.757552;0.053940;65.67;
0.2;40;64;810.00;64.00;64.00;78.73;0.069010;0.767448;0.055506;56.67;
0.2;41;64;810.00;64.00;64.00;79.17;0.069271;0.778385;0.052463;58.93;
0.2;42;64;810.00;64.00;64.00;78.57;0.067448;0.785938;0.057449;57.37;
0.2;43;64;810.00;64.00;64.00;78.40;0.064844;0.803125;0.054796;62.13;
0.2;44;64;810.00;64.00;64.00;79.17;0.073177;0.811198;0.058039;62.03;
0.2;45;64;810.00;64.00;64.00;79.10;0.063542;0.833073;0.050517;63.27;
0.2;46;64;810.00;64.00;64.00;77.90;0.061458;0.843750;0.056630;62.90;
0.2;47;64;810.00;64.00;64.00;78.57;0.054948;0.855990;0.061466;62.17;
0.2;48;64;810.00;64.00;64.00;80.33;0.064323;0.853906;0.059858;63.93;
0.2;49;64;810.00;64.00;64.00;77.20;0.062240;0.879948;0.062282;50.83;
0.2;50;64;810.00;64.00;64.00;76.47;0.059375;0.884375;0.064542;49.60;
0.2;51;64;810.00;64.00;64.00;79.67;0.061979;0.871354;0.064073;61.73;
0.2;52;64;810.00;64.00;64.00;77.00;0.053646;0.881250;0.065797;55.67;
0.2;53;64;810.00;64.00;64.00;77.93;0.052604;0.891146;0.057499;49.50;
0.2;54;64;810.00;64.00;64.00;77.87;0.051562;0.885938;0.063299;57.60;
0.2;55;64;810.00;64.00;64.00;75.97;0.064583;0.881250;0.058075;51.57;
0.2;56;64;810.00;64.00;64.00;80.07;0.050000;0.893229;0.060280;56.13;
0.2;57;64;810.00;64.00;64.00;77.43;0.057292;0.886979;0.060733;56.83;
0.2;58;64;810.00;64.00;64.00;78.83;0.055729;0.877604;0.063257;61.87;
0.2;59;64;810.00;64.00;64.00;76.10;0.063021;0.881250;0.066828;61.47;
0.2;60;64;810.00;64.00;64.00;78.03;0.062500;0.889583;0.062036;62.80;
0.2;61;64;810.00;64.00;64.00;79.27;0.054167;0.871354;0.064423;54.00;
0.2;62;64;810.00;64.00;64.00;79.67;0.055729;0.887500;0.057043;62.73;
0.2;63;64;810.00;64.00;64.00;81.57;0.052604;0.883854;0.058863;57.77;
0.2;64;64;810.00;64.00;64.00;80.20;0.048438;0.881771;0.060456;57.77;
0.2;2;128;3268.00;128.00;128.00;228.40;0.157305;0.707757;0.112927;120.57;
0.2;3;128;3268.00;128.00;128.00;230.57;0.153919;0.732478;0.090192;138.57;
0.2;4;128;3268.00;128.00;128.00;231.67;0.136350;0.734505;0.080116;126.93;
0.2;5;128;3268.00;128.00;128.00;231.30;0.132899;0.794010;0.086073;142.20;
0.2;6;128;3268.00;128.00;128.00;229.93;0.121397;0.767057;0.068569;144.40;
