k;vertices;edges;avg_insert;avg_extract;avg_decrease;avg_insert_r;avg_extract_r;avg_decrease_r;avg_time(microseconds);normalized_time
17;1448;1048570.00;1448.00;1448.00;7512.87;0.076305;0.705951;0.042231;11057.47;.0014469321
17;2047;1048431.00;2047.00;2047.00;9875.47;0.066940;0.768705;0.036235;12206.77;.0015239247
17;2896;1047323.00;2896.00;2896.00;12997.63;0.062105;0.815899;0.032015;12888.23;.0015377229
17;4095;1049481.00;4095.00;4095.00;16931.27;0.058079;0.860597;0.028584;14347.97;.0016387165
17;5792;1048752.00;5792.00;5792.00;21842.87;0.054614;0.863194;0.025546;16323.13;.0017868212
17;8191;1047565.00;8191.00;8191.00;28125.13;0.051545;0.849447;0.024417;19152.50;.0020113298
17;11585;1049730.00;11585.00;11585.00;35911.60;0.048998;0.855652;0.023077;23464.47;.0023652695
17;16383;1047746.00;16383.00;16383.00;44986.00;0.045784;0.870598;0.022355;28836.20;.0027903223
17;23170;1047597.00;23170.00;23170.00;55824.93;0.043317;0.887282;0.021328;33206.57;.0030827589
17;32767;1049862.00;32767.00;32767.00;67915.90;0.040398;0.905048;0.020623;43362.50;.0038568734
17;46340;1050816.00;46340.00;46340.00;81006.37;0.037177;0.921436;0.020040;63241.97;.0053761113
17;65535;1047831.00;65535.00;65535.00;92570.73;0.033997;0.936113;0.019792;83775.73;.0067802375
17;92681;1047743.00;92679.00;92679.00;102235.17;0.030361;0.948660;0.019937;112582.23;.0086253624
17;131071;1046132.00;131022.00;131022.00;105149.50;0.026434;0.958957;0.020046;146832.23;.0105631932
17;185363;1048224.00;184678.00;184678.00;99798.40;0.022664;0.906613;0.020592;204293.20;.0136488752
17;32768;32594;0;0;0;0;0;0;0;0
17;32768;46569.00;17340.38;17340.38;262.12;0.025184;0.899779;0.035088;12266.12;.0149131739
17;32768;65390.00;26066.36;26066.36;1733.14;0.020087;0.931351;0.030943;19675.23;.0192502478
17;32768;92832.00;30413.12;30413.12;5072.76;0.022412;0.857415;0.027726;25173.04;.0192997526
17;32768;131277.00;32113.04;32113.04;10415.82;0.024155;0.874218;0.025993;31334.14;.0183943214
17;32768;185533.00;32655.00;32655.00;17616.73;0.027763;0.887884;0.024000;31284.57;.0137941860
17;32768;261250.00;32753.00;32753.00;26251.27;0.031094;0.896467;0.023169;32051.37;.0104529507
17;32768;371478.00;32768.00;32768.00;36268.80;0.034383;0.901426;0.022049;34709.33;.0082735396
17;32768;524204.00;32768.00;32768.00;46382.53;0.036727;0.903939;0.021393;41428.30;.0071529026
17;32768;741591.00;32768.00;32768.00;56923.63;0.038759;0.904889;0.020534;44535.67;.0055325481
17;32768;1049225.00;32768.00;32768.00;68144.93;0.040431;0.905138;0.020599;48136.10;.0042814483
17;32768;1482722.00;32768.00;32768.00;79207.87;0.041431;0.904377;0.020810;52280.30;.0033175265
17;32768;2098522.00;32768.00;32768.00;90112.17;0.042030;0.901993;0.021062;57635.77;.0026026291
17;32768;2963327.00;32768.00;32768.00;101427.17;0.043117;0.897525;0.021579;64318.83;.0020630255
17;32768;4192194.00;32768.00;32768.00;112755.23;0.043254;0.890190;0.022737;81826.63;.0018618230
